Код зоны;Зона;ИД ячейки;Ячейка;Директория;ШК
Main;Основной склад;13221;Л-С12-4;Л-С12-4->Л-С12->Л->ОСНОВНОЙ СКЛАД;STL000132210001
Main;Основной склад;13222;Л-С12-5;Л-С12-5->Л-С12->Л->ОСНОВНОЙ СКЛАД;STL000132220001
Main;Основной склад;13223;Л-С12-6;Л-С12-6->Л-С12->Л->ОСНОВНОЙ СКЛАД;STL000132230001
Main;Основной склад;13224;Л-С12-7;Л-С12-7->Л-С12->Л->ОСНОВНОЙ СКЛАД;STL000132240001
Main;Основной склад;13225;Л-С12-8;Л-С12-8->Л-С12->Л->ОСНОВНОЙ СКЛАД;STL000132250001
Main;Основной склад;13226;Л-С12-9;Л-С12-9->Л-С12->Л->ОСНОВНОЙ СКЛАД;STL000132260001
Main;Основной склад;13227;Л-С13;Л-С13->Л->ОСНОВНОЙ СКЛАД->;STL000132270001
Main;Основной склад;13228;Л-С13-1;Л-С13-1->Л-С13->Л->ОСНОВНОЙ СКЛАД;STL000132280001
Main;Основной склад;13229;Л-С13-2;Л-С13-2->Л-С13->Л->ОСНОВНОЙ СКЛАД;STL000132290001
Main;Основной склад;13230;Л-С13-3;Л-С13-3->Л-С13->Л->ОСНОВНОЙ СКЛАД;STL000132300001
Main;Основной склад;13231;Л-С13-4;Л-С13-4->Л-С13->Л->ОСНОВНОЙ СКЛАД;STL000132310001
Main;Основной склад;13232;Л-С13-5;Л-С13-5->Л-С13->Л->ОСНОВНОЙ СКЛАД;STL000132320001
Main;Основной склад;13233;Л-С13-6;Л-С13-6->Л-С13->Л->ОСНОВНОЙ СКЛАД;STL000132330001
Main;Основной склад;13234;Л-С13-7;Л-С13-7->Л-С13->Л->ОСНОВНОЙ СКЛАД;STL000132340001
Main;Основной склад;13235;Л-С13-8;Л-С13-8->Л-С13->Л->ОСНОВНОЙ СКЛАД;STL000132350001
Main;Основной склад;13236;Л-С13-9;Л-С13-9->Л-С13->Л->ОСНОВНОЙ СКЛАД;STL000132360001
Main;Основной склад;13237;Л-С14;Л-С14->Л->ОСНОВНОЙ СКЛАД->;STL000132370001
Main;Основной склад;13238;Л-С14-1;Л-С14-1->Л-С14->Л->ОСНОВНОЙ СКЛАД;STL000132380001
Main;Основной склад;13239;Л-С14-2;Л-С14-2->Л-С14->Л->ОСНОВНОЙ СКЛАД;STL000132390001
Main;Основной склад;13240;Л-С14-3;Л-С14-3->Л-С14->Л->ОСНОВНОЙ СКЛАД;STL000132400001
Main;Основной склад;13241;Л-С14-4;Л-С14-4->Л-С14->Л->ОСНОВНОЙ СКЛАД;STL000132410001
Main;Основной склад;13242;Л-С14-5;Л-С14-5->Л-С14->Л->ОСНОВНОЙ СКЛАД;STL000132420001
Main;Основной склад;13243;Л-С14-6;Л-С14-6->Л-С14->Л->ОСНОВНОЙ СКЛАД;STL000132430001
Main;Основной склад;13244;Л-С14-7;Л-С14-7->Л-С14->Л->ОСНОВНОЙ СКЛАД;STL000132440001
Main;Основной склад;13245;Л-С14-8;Л-С14-8->Л-С14->Л->ОСНОВНОЙ СКЛАД;STL000132450001
Main;Основной склад;13246;Л-С14-9;Л-С14-9->Л-С14->Л->ОСНОВНОЙ СКЛАД;STL000132460001
Main;Основной склад;13247;Л-С15;Л-С15->Л->ОСНОВНОЙ СКЛАД->;STL000132470001
Main;Основной склад;13248;Л-С15-1;Л-С15-1->Л-С15->Л->ОСНОВНОЙ СКЛАД;STL000132480001
Main;Основной склад;13249;Л-С15-2;Л-С15-2->Л-С15->Л->ОСНОВНОЙ СКЛАД;STL000132490001
Main;Основной склад;13250;Л-С15-3;Л-С15-3->Л-С15->Л->ОСНОВНОЙ СКЛАД;STL000132500001
Main;Основной склад;13251;Л-С15-4;Л-С15-4->Л-С15->Л->ОСНОВНОЙ СКЛАД;STL000132510001
Main;Основной склад;13252;Л-С15-5;Л-С15-5->Л-С15->Л->ОСНОВНОЙ СКЛАД;STL000132520001
Main;Основной склад;13253;Л-С15-6;Л-С15-6->Л-С15->Л->ОСНОВНОЙ СКЛАД;STL000132530001
Main;Основной склад;13254;Л-С15-7;Л-С15-7->Л-С15->Л->ОСНОВНОЙ СКЛАД;STL000132540001
Main;Основной склад;13255;Л-С15-8;Л-С15-8->Л-С15->Л->ОСНОВНОЙ СКЛАД;STL000132550001
Main;Основной склад;13256;Л-С15-9;Л-С15-9->Л-С15->Л->ОСНОВНОЙ СКЛАД;STL000132560001
Main;Основной склад;13257;Л-С16;Л-С16->Л->ОСНОВНОЙ СКЛАД->;STL000132570001
Main;Основной склад;13258;Л-С16-1;Л-С16-1->Л-С16->Л->ОСНОВНОЙ СКЛАД;STL000132580001
Main;Основной склад;13259;Л-С16-2;Л-С16-2->Л-С16->Л->ОСНОВНОЙ СКЛАД;STL000132590001
Main;Основной склад;13260;Л-С16-3;Л-С16-3->Л-С16->Л->ОСНОВНОЙ СКЛАД;STL000132600001
Main;Основной склад;13261;Л-С16-4;Л-С16-4->Л-С16->Л->ОСНОВНОЙ СКЛАД;STL000132610001
Main;Основной склад;13262;Л-С16-5;Л-С16-5->Л-С16->Л->ОСНОВНОЙ СКЛАД;STL000132620001
Main;Основной склад;13263;Л-С16-6;Л-С16-6->Л-С16->Л->ОСНОВНОЙ СКЛАД;STL000132630001
Main;Основной склад;13264;Л-С16-7;Л-С16-7->Л-С16->Л->ОСНОВНОЙ СКЛАД;STL000132640001
Main;Основной склад;13265;Л-С16-8;Л-С16-8->Л-С16->Л->ОСНОВНОЙ СКЛАД;STL000132650001
Main;Основной склад;13266;Л-С16-9;Л-С16-9->Л-С16->Л->ОСНОВНОЙ СКЛАД;STL000132660001
Main;Основной склад;13267;Л-С17;Л-С17->Л->ОСНОВНОЙ СКЛАД->;STL000132670001
Main;Основной склад;13268;Л-С17-1;Л-С17-1->Л-С17->Л->ОСНОВНОЙ СКЛАД;STL000132680001
Main;Основной склад;13269;Л-С17-2;Л-С17-2->Л-С17->Л->ОСНОВНОЙ СКЛАД;STL000132690001
Main;Основной склад;13270;Л-С17-3;Л-С17-3->Л-С17->Л->ОСНОВНОЙ СКЛАД;STL000132700001
Main;Основной склад;13271;Л-С17-4;Л-С17-4->Л-С17->Л->ОСНОВНОЙ СКЛАД;STL000132710001
Main;Основной склад;13272;Л-С17-5;Л-С17-5->Л-С17->Л->ОСНОВНОЙ СКЛАД;STL000132720001
Main;Основной склад;13273;Л-С17-6;Л-С17-6->Л-С17->Л->ОСНОВНОЙ СКЛАД;STL000132730001
Main;Основной склад;13274;Л-С17-7;Л-С17-7->Л-С17->Л->ОСНОВНОЙ СКЛАД;STL000132740001
Main;Основной склад;13275;Л-С17-8;Л-С17-8->Л-С17->Л->ОСНОВНОЙ СКЛАД;STL000132750001
Main;Основной склад;13276;Л-С17-9;Л-С17-9->Л-С17->Л->ОСНОВНОЙ СКЛАД;STL000132760001
Main;Основной склад;13277;Л-С18;Л-С18->Л->ОСНОВНОЙ СКЛАД->;STL000132770001
Main;Основной склад;13278;Л-С18-1;Л-С18-1->Л-С18->Л->ОСНОВНОЙ СКЛАД;STL000132780001
Main;Основной склад;13279;Л-С18-2;Л-С18-2->Л-С18->Л->ОСНОВНОЙ СКЛАД;STL000132790001
Main;Основной склад;13280;Л-С18-3;Л-С18-3->Л-С18->Л->ОСНОВНОЙ СКЛАД;STL000132800001
Main;Основной склад;13281;Л-С18-4;Л-С18-4->Л-С18->Л->ОСНОВНОЙ СКЛАД;STL000132810001
Main;Основной склад;13282;Л-С18-5;Л-С18-5->Л-С18->Л->ОСНОВНОЙ СКЛАД;STL000132820001
Main;Основной склад;13283;Л-С18-6;Л-С18-6->Л-С18->Л->ОСНОВНОЙ СКЛАД;STL000132830001
Main;Основной склад;13284;Л-С18-7;Л-С18-7->Л-С18->Л->ОСНОВНОЙ СКЛАД;STL000132840001
Main;Основной склад;13285;Л-С18-8;Л-С18-8->Л-С18->Л->ОСНОВНОЙ СКЛАД;STL000132850001
Main;Основной склад;13286;Л-С18-9;Л-С18-9->Л-С18->Л->ОСНОВНОЙ СКЛАД;STL000132860001
Main;Основной склад;13287;Л-С19;Л-С19->Л->ОСНОВНОЙ СКЛАД->;STL000132870001
Main;Основной склад;13288;Л-С19-1;Л-С19-1->Л-С19->Л->ОСНОВНОЙ СКЛАД;STL000132880001
Main;Основной склад;13289;Л-С19-2;Л-С19-2->Л-С19->Л->ОСНОВНОЙ СКЛАД;STL000132890001
Main;Основной склад;13290;Л-С19-3;Л-С19-3->Л-С19->Л->ОСНОВНОЙ СКЛАД;STL000132900001
Main;Основной склад;13291;Л-С19-4;Л-С19-4->Л-С19->Л->ОСНОВНОЙ СКЛАД;STL000132910001
Main;Основной склад;13292;Л-С19-5;Л-С19-5->Л-С19->Л->ОСНОВНОЙ СКЛАД;STL000132920001
Main;Основной склад;13293;Л-С19-6;Л-С19-6->Л-С19->Л->ОСНОВНОЙ СКЛАД;STL000132930001
Main;Основной склад;13294;Л-С19-7;Л-С19-7->Л-С19->Л->ОСНОВНОЙ СКЛАД;STL000132940001
Main;Основной склад;13295;Л-С19-8;Л-С19-8->Л-С19->Л->ОСНОВНОЙ СКЛАД;STL000132950001
Main;Основной склад;13296;Л-С19-9;Л-С19-9->Л-С19->Л->ОСНОВНОЙ СКЛАД;STL000132960001
Main;Основной склад;13297;Л-С20;Л-С20->Л->ОСНОВНОЙ СКЛАД->;STL000132970001
Main;Основной склад;13298;Л-С20-1;Л-С20-1->Л-С20->Л->ОСНОВНОЙ СКЛАД;STL000132980001
Main;Основной склад;13299;Л-С20-2;Л-С20-2->Л-С20->Л->ОСНОВНОЙ СКЛАД;STL000132990001
Main;Основной склад;13300;Л-С20-3;Л-С20-3->Л-С20->Л->ОСНОВНОЙ СКЛАД;STL000133000001
Main;Основной склад;13301;Л-С20-4;Л-С20-4->Л-С20->Л->ОСНОВНОЙ СКЛАД;STL000133010001
Main;Основной склад;13302;Л-С20-5;Л-С20-5->Л-С20->Л->ОСНОВНОЙ СКЛАД;STL000133020001
Main;Основной склад;13303;Л-С20-6;Л-С20-6->Л-С20->Л->ОСНОВНОЙ СКЛАД;STL000133030001
Main;Основной склад;13304;Л-С20-7;Л-С20-7->Л-С20->Л->ОСНОВНОЙ СКЛАД;STL000133040001
Main;Основной склад;13305;Л-С20-8;Л-С20-8->Л-С20->Л->ОСНОВНОЙ СКЛАД;STL000133050001
Main;Основной склад;13306;Л-С20-9;Л-С20-9->Л-С20->Л->ОСНОВНОЙ СКЛАД;STL000133060001
Main;Основной склад;13307;Л-С21;Л-С21->Л->ОСНОВНОЙ СКЛАД->;STL000133070001
Main;Основной склад;13308;Л-С21-1;Л-С21-1->Л-С21->Л->ОСНОВНОЙ СКЛАД;STL000133080001
Main;Основной склад;13309;Л-С21-2;Л-С21-2->Л-С21->Л->ОСНОВНОЙ СКЛАД;STL000133090001
Main;Основной склад;13310;Л-С21-3;Л-С21-3->Л-С21->Л->ОСНОВНОЙ СКЛАД;STL000133100001
Main;Основной склад;13311;Л-С21-4;Л-С21-4->Л-С21->Л->ОСНОВНОЙ СКЛАД;STL000133110001
Main;Основной склад;13312;Л-С21-5;Л-С21-5->Л-С21->Л->ОСНОВНОЙ СКЛАД;STL000133120001
Main;Основной склад;13313;Л-С21-6;Л-С21-6->Л-С21->Л->ОСНОВНОЙ СКЛАД;STL000133130001
Main;Основной склад;13314;Л-С21-7;Л-С21-7->Л-С21->Л->ОСНОВНОЙ СКЛАД;STL000133140001
Main;Основной склад;13315;Л-С21-8;Л-С21-8->Л-С21->Л->ОСНОВНОЙ СКЛАД;STL000133150001
Main;Основной склад;13316;Л-С21-9;Л-С21-9->Л-С21->Л->ОСНОВНОЙ СКЛАД;STL000133160001
Main;Основной склад;13317;Л-С22;Л-С22->Л->ОСНОВНОЙ СКЛАД->;STL000133170001
Main;Основной склад;13318;Л-С22-1;Л-С22-1->Л-С22->Л->ОСНОВНОЙ СКЛАД;STL000133180001
Main;Основной склад;13319;Л-С22-2;Л-С22-2->Л-С22->Л->ОСНОВНОЙ СКЛАД;STL000133190001
Main;Основной склад;13320;Л-С22-3;Л-С22-3->Л-С22->Л->ОСНОВНОЙ СКЛАД;STL000133200001
Main;Основной склад;13321;Л-С22-4;Л-С22-4->Л-С22->Л->ОСНОВНОЙ СКЛАД;STL000133210001
Main;Основной склад;13322;Л-С22-5;Л-С22-5->Л-С22->Л->ОСНОВНОЙ СКЛАД;STL000133220001
Main;Основной склад;13323;Л-С22-6;Л-С22-6->Л-С22->Л->ОСНОВНОЙ СКЛАД;STL000133230001
Main;Основной склад;13324;Л-С22-7;Л-С22-7->Л-С22->Л->ОСНОВНОЙ СКЛАД;STL000133240001
